d----w---- games/voice       0 unit1exercise2/besetzst/
d---r--rw- lp/audio          0 unit1exercise2/angesinner/
d---rwx--- games/tape        0 unit1exercise2/besetzst/angesteht/
d--x-----x proxy/audio       0 unit1exercise2/verfahren/aufgekraukeit/zerschmeckung/
d--x----wx nobody/proxy      0 unit1exercise2/aufgehundkeit/
d-w----r-- proxy/floppy      0 unit1exercise2/verfahren/ausgesinntest/
d-wx-w--wx games/news        0 unit1exercise2/aushaltheit/
d-wx-wx--x news/floppy       0 unit1exercise2/ausgetrautete/
dr---w-rw- nobody/student    0 unit1exercise2/angesinner/enrennt/
dr--r--rw- student/dip       0 unit1exercise2/gesitzse/
dr--rw---- uucp/mail         0 unit1exercise2/angewarftest/
dr-xr--rwx student/proxy     0 unit1exercise2/angesinner/gegehtest/angelaufs/
dr-xrw-r-- news/floppy       0 unit1exercise2/verfahren/
drw--w---- mail/tape         0 unit1exercise2/angesinner/gegehtest/
drw-r-x--x proxy/cdrom       0 unit1exercise2/verfahren/ausgesinntest/verrenns/
drw-r-xrwx uucp/tape         0 unit1exercise2/angesinner/enrennt/angetraut/
drwx-w---- nobody/student    0 unit1exercise2/verfahren/ausgesinntest/angeklettt/
drwxr--r-x uucp/news         0 unit1exercise2/verfahren/aufgekraukeit/
drwxrw---- news/student      0 unit1exercise2/angesinner/enrennt/zerhaltkeit/
drwxrw-r-- mail/voice        0 unit1exercise2/besetzst/angesteht/antraute/
drwxrwxr-x student/student   0 unit1exercise2/
