d--x---rw- student/tape      0 unit1exercise4/verhaltt/
d--x--S--x student/floppy    0 unit1exercise4/berennte/einkaeste/verklettst/
d--x-w-r-- student/audio     0 unit1exercise4/aussetztest/angewitztest/
d--xr--rwx student/dip       0 unit1exercise4/aussetztest/
d--xrwxrwx student/proxy     0 unit1exercise4/zersinntest/
d-w---xrw- student/tape      0 unit1exercise4/angerennst/
d-w--wxrw- student/mail      0 unit1exercise4/zersinntest/aufgerabarbheit/verspracher/
d-wxr--rwx student/proxy     0 unit1exercise4/zersinntest/aufgerabarbheit/besetzen/
d-wxrwx-wx student/cdrom     0 unit1exercise4/eingehs/angewarfse/einlaufen/
dr----xrw- student/audio     0 unit1exercise4/eingehs/angewarfse/
dr---wsr-x student/news      0 unit1exercise4/berennte/ausgehaltkeit/
dr--r-xrwx student/tape      0 unit1exercise4/berennte/einkaeste/
dr-x--s-wx student/dip       0 unit1exercise4/anhundung/
dr-x-ws--- student/voice     0 unit1exercise4/angehunder/
dr-xr----- student/news      0 unit1exercise4/berennte/ausgehaltkeit/angesprachung/
drw---Sr-- student/proxy     0 unit1exercise4/berennte/
drwxr--rw- student/cdrom     0 unit1exercise4/eingehs/angewarfse/ausgegeht/
drwxr-s--x student/fax       0 unit1exercise4/zersinntest/aufgerabarbheit/enkraust/
drwxrw-rw- student/voice     0 unit1exercise4/zersinntest/aufgerabarbheit/
drwxrwsr-- student/audio     0 unit1exercise4/eingehs/
drwxrwxr-x student/student   0 unit1exercise4/
